;name;link;company_name;site;salary_min;salary_max;salary_currency
42;Python Developer (Django);https://nn.hh.ru/vacancy/48501689?from=vacancy_search_list&query=python;DAILO;hh.ru;130000.0;160000.0;руб.
43;Python/Django Web Developer (Remote);https://nn.hh.ru/vacancy/49019839?from=vacancy_search_list&query=python;Soshace;hh.ru;4000.0;6000.0;USD
44;Python Developer (remote);https://nn.hh.ru/vacancy/49044221?from=vacancy_search_list&query=python;Brandquad;hh.ru;150000.0;;руб.
45;Разработчик Python в Яндекс.Q;https://nn.hh.ru/vacancy/48624241?from=vacancy_search_list&query=python;Яндекс;hh.ru;;;
46;Python Developer;https://nn.hh.ru/vacancy/47288057?from=vacancy_search_list&query=python;Artezio;hh.ru;;;
47;Python разработчик (Django);https://nn.hh.ru/vacancy/48490688?from=vacancy_search_list&query=python;HuskyJam;hh.ru;;;
48;Программист Python;https://nn.hh.ru/vacancy/49128009?from=vacancy_search_list&query=python;IPONWEB Ltd (UK);hh.ru;;;
49;Разработчик Python (искусственный интеллект);https://nn.hh.ru/vacancy/48851241?from=vacancy_search_list&query=python;Корпорация ЭЛАР;hh.ru;;;
50;Senior Python разработчик (PT Sandbox);https://nn.hh.ru/vacancy/49155398?from=vacancy_search_list&query=python;Positive Technologies;hh.ru;;;
51;Python Django developer;https://nn.hh.ru/vacancy/48701378?from=vacancy_search_list&query=python;ООО БОЛЬШАЯ ТРОЙКА;hh.ru;110000.0;250000.0;руб.
52;Middle QA Automation Engineer (Python);https://nn.hh.ru/vacancy/43394113?from=vacancy_search_list&query=python;Scalable Solutions;hh.ru;180000.0;250000.0;руб.
53;Python Senior Backend Developer;https://nn.hh.ru/vacancy/48707258?from=vacancy_search_list&query=python;GenX;hh.ru;3000.0;5000.0;USD
54;Full-stack Python;https://nn.hh.ru/vacancy/46754461?from=vacancy_search_list&query=python;ПАО БАНК УРАЛСИБ;hh.ru;;;
55;Back-end python программист;https://nn.hh.ru/vacancy/45987039?from=vacancy_search_list&query=python;ООО ВойсЛинк;hh.ru;;200000.0;руб.
56;Python Developer;https://nn.hh.ru/vacancy/49046919?from=vacancy_search_list&query=python;ООО Ябби;hh.ru;135000.0;187000.0;руб.
57;Backend Python Developer;https://nn.hh.ru/vacancy/47777649?from=vacancy_search_list&query=python;EXMO;hh.ru;;;
58;Python developer;https://nn.hh.ru/vacancy/49122707?from=vacancy_search_list&query=python;GamesBoost42;hh.ru;;;
59;Python разработчик (FastAPI / aiohttp / sanic);https://nn.hh.ru/vacancy/49126424?from=vacancy_search_list&query=python;HuskyJam;hh.ru;150000.0;;руб.
60;Data Engineer (Python);https://nn.hh.ru/vacancy/48601979?from=vacancy_search_list&query=python;Prisma Labs, inc.;hh.ru;;;
61;Middle разработчик Python / Django (удалённо);https://nn.hh.ru/vacancy/48923479?from=vacancy_search_list&query=python;ООО Диджитал Пайн;hh.ru;;;
62;Senior Python Developer;https://nn.hh.ru/vacancy/48847592?from=vacancy_search_list&query=python;Top Remote Talent;hh.ru;4000.0;6000.0;USD
63;Web-разработчик (python);https://nn.hh.ru/vacancy/46584233?from=vacancy_search_list&query=python;ООО Национальные Технологии;hh.ru;;;
64;Python developer;https://nn.hh.ru/vacancy/49010529?from=vacancy_search_list&query=python;ООО Цифровые Банковские Платформы;hh.ru;;;
65;Senior Python Engineer (Remote);https://nn.hh.ru/vacancy/47213315?from=vacancy_search_list&query=python;Spark Equation;hh.ru;230000.0;320000.0;руб.
66;Разработчик Python (backend);https://nn.hh.ru/vacancy/48213042?from=vacancy_search_list&query=python;Whalemap;hh.ru;150000.0;300000.0;руб.
67;Software Developer Python;https://nn.hh.ru/vacancy/48718315?from=vacancy_search_list&query=python;ООО ВЕБ Инфраструктура;hh.ru;60000.0;180000.0;руб.
68;Python разработчик (middle +);https://nn.hh.ru/vacancy/49067357?from=vacancy_search_list&query=python;ООО МЕДИКАЛ НОУТ;hh.ru;120000.0;180000.0;руб.
69;Backend developer python;https://nn.hh.ru/vacancy/47799772?from=vacancy_search_list&query=python;Билайн;hh.ru;;;
70;Python Senior Backend Developer;https://nn.hh.ru/vacancy/48707258?from=vacancy_search_list&query=python;GenX;hh.ru;3000.0;5000.0;USD
71;Senior Python-Разработчик (удаленно);https://nn.hh.ru/vacancy/47484756?from=vacancy_search_list&query=python;BestDoctor;hh.ru;180000.0;;руб.
72;Python developer (Автографик);https://nn.hh.ru/vacancy/47431643?from=vacancy_search_list&query=python;Домклик;hh.ru;;;
73;Data Scientist;https://nn.hh.ru/vacancy/48484869?from=vacancy_search_list&query=python;Borzo;hh.ru;220000.0;;руб.
74;Python developer;https://nn.hh.ru/vacancy/49166395?from=vacancy_search_list&query=python;ООО Меркурио;hh.ru;;;
75;Python разработчик;https://nn.hh.ru/vacancy/47977485?from=vacancy_search_list&query=python;Spice Agency;hh.ru;;300000.0;руб.
76;Senior Python разработчик (PT Sandbox);https://nn.hh.ru/vacancy/49155398?from=vacancy_search_list&query=python;Positive Technologies;hh.ru;;;
77;Python senior developer / Старший Python-Разработчик;https://nn.hh.ru/vacancy/47484744?from=vacancy_search_list&query=python;BestDoctor;hh.ru;250000.0;;руб.
78;Python Developer (Customization Blitz);https://nn.hh.ru/vacancy/47898759?from=vacancy_search_list&query=python;Wargaming, Moscow;hh.ru;;;
79;Python Developer / Deep-Learner;https://nn.hh.ru/vacancy/48593982?from=vacancy_search_list&query=python;Insilico Medicine;hh.ru;2000.0;;USD
80;Backend Python разработчик;https://nn.hh.ru/vacancy/48546755?from=vacancy_search_list&query=python;Центр хранения и анализа больших данных;hh.ru;;;
81;Backend-разработчик (python);https://nn.hh.ru/vacancy/48160576?from=vacancy_search_list&query=python;ГК TFN;hh.ru;160000.0;;руб.
82;Python Developer;https://nn.hh.ru/vacancy/48715724?from=vacancy_search_list&query=python;ООО Ньюком Дистрибьюшн;hh.ru;;300000.0;руб.
83;Аналитик Python (senior);https://nn.hh.ru/vacancy/48877390?from=vacancy_search_list&query=python;ООО Диплей;hh.ru;;;
84;QA automation (Python);https://nn.hh.ru/vacancy/49086306?from=vacancy_search_list&query=python;ООО ОНЭЛИЯ;hh.ru;150000.0;250000.0;руб.
85;Программист Python;https://nn.hh.ru/vacancy/49070648?from=vacancy_search_list&query=python;Сбер. IT;hh.ru;;;
86;Python разработчик Senior;https://nn.hh.ru/vacancy/41541061?from=vacancy_search_list&query=python;ООО Строительный Двор;hh.ru;220000.0;270000.0;руб.
87;Старший разработчик Python;https://nn.hh.ru/vacancy/47494013?from=vacancy_search_list&query=python;Билайн;hh.ru;;;
88;Программист разработчик на Python;https://nn.hh.ru/vacancy/48959792?from=vacancy_search_list&query=python;ГРЧЦ, ФГУП;hh.ru;110000.0;160000.0;руб.
89;Senior Python-developer;https://nn.hh.ru/vacancy/48349064?from=vacancy_search_list&query=python;Prime Partner;hh.ru;;280000.0;руб.
90;Senior Python Developer;https://nn.hh.ru/vacancy/47642650?from=vacancy_search_list&query=python;ООО Интеллектуальные Продукты;hh.ru;150000.0;250000.0;руб.
91;Разработчик Python;https://nn.hh.ru/vacancy/49060097?from=vacancy_search_list&query=python;Integrity Solutions;hh.ru;;;
92;Инженер-программист Python;https://nn.hh.ru/vacancy/49051205?from=vacancy_search_list&query=python;IT_Selection;hh.ru;150000.0;200000.0;руб.
93;Python разработчик (CRM Domclick);https://nn.hh.ru/vacancy/47433937?from=vacancy_search_list&query=python;Домклик;hh.ru;;;
94;Backend-разработчик (Python);https://nn.hh.ru/vacancy/49069747?from=vacancy_search_list&query=python;ОРИОН ТЕХНОЛОДЖИЗ;hh.ru;;;
95;Python-разработчик;https://nn.hh.ru/vacancy/48531691?from=vacancy_search_list&query=python;Яндекс;hh.ru;;;
96;Python Developer;https://nn.hh.ru/vacancy/42358806?from=vacancy_search_list&query=python;Онлайн-школа Тетрика;hh.ru;;;
97;Python developer;https://nn.hh.ru/vacancy/37583293?from=vacancy_search_list&query=python;Rutube;hh.ru;;;
98;Python Developer;https://nn.hh.ru/vacancy/49073433?from=vacancy_search_list&query=python;Andersen;hh.ru;;;
99;Backend-разработчик (Python);https://nn.hh.ru/vacancy/49050310?from=vacancy_search_list&query=python;SOCIARO Inc.;hh.ru;;90000.0;руб.
100;Senior Data Engineer;https://nn.hh.ru/vacancy/49031421?from=vacancy_search_list&query=python;inDriver;hh.ru;;350000.0;руб.
101;Python разработчик (Биометрия);https://nn.hh.ru/vacancy/48966626?from=vacancy_search_list&query=python;ПАО «МТС» ;hh.ru;;;
102;Middle Backend разработчик (Python);https://nn.hh.ru/vacancy/48925040?from=vacancy_search_list&query=python;ООО Контент лайн;hh.ru;140000.0;180000.0;руб.
103;Разработчик Python;https://nn.hh.ru/vacancy/48876138?from=vacancy_search_list&query=python;Газпромбанк;hh.ru;;;
104;Программист Python;https://nn.hh.ru/vacancy/48607141?from=vacancy_search_list&query=python;Иннотех, Группа компаний;hh.ru;;;
105;Python Developer;https://nn.hh.ru/vacancy/46280996?from=vacancy_search_list&query=python;AdQuantum;hh.ru;150000.0;;руб.
106;Middle/Senior Python Developer (Программист Python);https://nn.hh.ru/vacancy/48379511?from=vacancy_search_list&query=python;Rainforest Life Pte Ltd;hh.ru;;;
107;Python-разработчик (Confer);https://nn.hh.ru/vacancy/47752511?from=vacancy_search_list&query=python;Домклик;hh.ru;;;
108;Разработчик Python;https://nn.hh.ru/vacancy/48501090?from=vacancy_search_list&query=python;Team4You;hh.ru;;;
109;Python-разработчик;https://nn.hh.ru/vacancy/48494067?from=vacancy_search_list&query=python;Сбер для экспертов;hh.ru;;;
110;Программист Python;https://nn.hh.ru/vacancy/47040907?from=vacancy_search_list&query=python;3LOGIC GROUP;hh.ru;;;
111;Python Developer (Remote);https://nn.hh.ru/vacancy/48917750?from=vacancy_search_list&query=python;ГК «ВИЗАВИ Консалт»;hh.ru;3500.0;5500.0;USD
112;Python разработчик;https://nn.hh.ru/vacancy/43661617?from=vacancy_search_list&query=python;DSSL;hh.ru;;;
113;Python Developer;https://nn.hh.ru/vacancy/48855087?from=vacancy_search_list&query=python;ЛитРес;hh.ru;;;
114;Python developer (Kaspersky Anti Targeted Attack);https://nn.hh.ru/vacancy/42522896?from=vacancy_search_list&query=python;Лаборатория Касперского;hh.ru;;;
115;Бэкэнд-разработчик (Python, Django);https://nn.hh.ru/vacancy/48896096?from=vacancy_search_list&query=python;Ergeon;hh.ru;3000.0;4000.0;USD
116;Python- разработчик;https://nn.hh.ru/vacancy/48409445?from=vacancy_search_list&query=python;ООО Баум-Информ;hh.ru;;;
117;Разработчик DWH (Airflow + Python);https://nn.hh.ru/vacancy/48936279?from=vacancy_search_list&query=python;MERLION;hh.ru;;;
118;Инженер-программист Python;https://nn.hh.ru/vacancy/42771682?from=vacancy_search_list&query=python;АО РТИ;hh.ru;;;
119;Python Developer;https://nn.hh.ru/vacancy/49011800?from=vacancy_search_list&query=python;Toughbyte;hh.ru;;;
120;Программист Python;https://nn.hh.ru/vacancy/48026968?from=vacancy_search_list&query=python;ООО РАБЛЗ;hh.ru;;300000.0;руб.
121;Python разработчик;https://nn.hh.ru/vacancy/48618635?from=vacancy_search_list&query=python;Филиал компании Лист Ренталс Лимитед;hh.ru;1500.0;4000.0;USD
122;Разработчик Python;https://nn.hh.ru/vacancy/48493904?from=vacancy_search_list&query=python;ПАО Первая Грузовая Компания;hh.ru;;;
123;Инженер/разработчик (Python);https://nn.hh.ru/vacancy/47974158?from=vacancy_search_list&query=python;ООО ИЦ АЙ-ТЕКО;hh.ru;;;
124;Разработчик Python;https://nn.hh.ru/vacancy/48796770?from=vacancy_search_list&query=python;Сбер. IT;hh.ru;;;
125;Senior Python разработчик (Наставник);https://nn.hh.ru/vacancy/47536823?from=vacancy_search_list&query=python;Сбер для экспертов;hh.ru;209500.0;261900.0;руб.
126;Middle Backend Developer (Python, FastAPI);https://nn.hh.ru/vacancy/48754125?from=vacancy_search_list&query=python;Open Genes;hh.ru;200000.0;230000.0;руб.
127;Python Developer;https://nn.hh.ru/vacancy/48795233?from=vacancy_search_list&query=python;Сбер. IT;hh.ru;;;
128;Программист Python;https://nn.hh.ru/vacancy/48773587?from=vacancy_search_list&query=python;Канобу;hh.ru;80000.0;120000.0;руб.
129;Разработчик Python;https://nn.hh.ru/vacancy/48830256?from=vacancy_search_list&query=python;Сбер. IT;hh.ru;;;
130;Python разработчик;https://nn.hh.ru/vacancy/48744745?from=vacancy_search_list&query=python;Сбер для экспертов;hh.ru;;;
131;Senior Python developer;https://nn.hh.ru/vacancy/48802127?from=vacancy_search_list&query=python;Spice Agency;hh.ru;;450000.0;руб.
132;Python Developer;https://nn.hh.ru/vacancy/48804528?from=vacancy_search_list&query=python;ООО ЦИФРА;hh.ru;;;
133;Python разработчик;https://nn.hh.ru/vacancy/48752474?from=vacancy_search_list&query=python;Яндекс;hh.ru;;;
134;Backend-разработчик (python);https://nn.hh.ru/vacancy/47764127?from=vacancy_search_list&query=python;ЛитРес;hh.ru;;;
135;Ведущий разработчик Python;https://nn.hh.ru/vacancy/46956868?from=vacancy_search_list&query=python;АО Консист-ОС;hh.ru;;;
136;Data Engineer (Python);https://nn.hh.ru/vacancy/48219778?from=vacancy_search_list&query=python;Detego;hh.ru;;;
137;Python разработчик Middle/Senior;https://nn.hh.ru/vacancy/47910596?from=vacancy_search_list&query=python;ODDSCORP;hh.ru;120000.0;200000.0;руб.
138;Python-разработчик;https://nn.hh.ru/vacancy/48846667?from=vacancy_search_list&query=python;Spice Agency;hh.ru;;;
139;Python developer;https://nn.hh.ru/vacancy/46411093?from=vacancy_search_list&query=python;SberTech;hh.ru;;;
140;Junior Python Developer;https://nn.hh.ru/vacancy/48567024?from=vacancy_search_list&query=python;ООО АТОН;hh.ru;;;
141;Senior Python developer;https://nn.hh.ru/vacancy/48893032?from=vacancy_search_list&query=python;ООО Серверные Технологии;hh.ru;3000.0;4000.0;USD
142;Разработчик Python;https://nn.hh.ru/vacancy/48694059?from=vacancy_search_list&query=python;АО ФинТех;hh.ru;;;
143;Ведущий разработчик Python;https://nn.hh.ru/vacancy/48744184?from=vacancy_search_list&query=python;Согласие, страховая компания;hh.ru;;;
144;Python разработчик;https://nn.hh.ru/vacancy/47901989?from=vacancy_search_list&query=python;АО АСТ;hh.ru;;;
145;Python developer;https://nn.hh.ru/vacancy/48696908?from=vacancy_search_list&query=python;Kelly Services;hh.ru;;200000.0;руб.
